iter	Logloss
0	0.66375378
1	0.6366000563
2	0.6113189867
3	0.5909542187
4	0.5737539924
5	0.5542249314
6	0.5396946983
7	0.5247892834
8	0.5130428717
9	0.5023619712
10	0.4908406625
11	0.480377904
12	0.4723989884
13	0.4636121873
14	0.4578011958
15	0.4498968058
16	0.4455847073
17	0.4422563832
18	0.4378189951
19	0.4334595097
20	0.4288548934
21	0.4254592226
22	0.4225429197
23	0.4209463299
24	0.4184675008
25	0.4172968603
26	0.412564296
27	0.4086556914
28	0.4058090877
29	0.4029678287
30	0.40114801
31	0.3991675443
32	0.3970822663
33	0.3944611963
34	0.3927221347
35	0.391426336
36	0.3904268295
37	0.3893013049
38	0.3876990408
39	0.3860103992
40	0.3840453849
41	0.3821730596
42	0.3810181977
43	0.3787527218
44	0.3780032495
45	0.3762538821
46	0.3747330355
47	0.3729845138
48	0.3720377291
49	0.3709501431
50	0.3695291886
51	0.3678025571
52	0.3672813351
53	0.3661716708
54	0.3651317394
55	0.3637400377
56	0.3623230519
57	0.3612935222
58	0.360135275
59	0.35903104
60	0.3577516095
61	0.3564650613
62	0.3556773354
63	0.3539591736
64	0.352816963
65	0.3519233013
66	0.3512110845
67	0.3503336408
68	0.3494651349
69	0.348945974
70	0.3482215634
71	0.3473518838
72	0.3462065203
73	0.345139684
74	0.3447694339
75	0.3437803259
76	0.3430190541
77	0.3420467381
78	0.3411073306
79	0.3402683183
80	0.3392926881
81	0.3388532386
82	0.3381677644
83	0.3376502947
84	0.3368289408
85	0.3355867016
86	0.3349791984
87	0.3341701949
88	0.3327516581
89	0.3321344772
90	0.3315625725
91	0.3310078698
92	0.3303020202
93	0.3298551883
94	0.3285120968
95	0.3280180278
96	0.327625252
97	0.3267044424
98	0.3261901338
99	0.325849753
100	0.325401553
101	0.3245743915
102	0.3243849364
103	0.3234060903
104	0.3221320609
105	0.3217513077
106	0.3211219211
107	0.3207056562
108	0.3197994079
109	0.3192486006
110	0.3192043941
111	0.3185730392
112	0.318092349
113	0.316751164
114	0.3163551322
115	0.3160779911
116	0.3156019333
117	0.3144824967
118	0.3143197617
119	0.3136057913
120	0.313019955
121	0.3119170866
122	0.3113856628
123	0.3105699226
124	0.3101409493
125	0.3094972021
126	0.3092688878
127	0.3086112785
128	0.3073257148
129	0.3065203528
130	0.3057628584
131	0.3053636864
132	0.3040150522
133	0.3031368557
134	0.3028280728
135	0.3023688048
136	0.3017172407
137	0.3010087665
138	0.3004927999
139	0.2999593386
140	0.2995420056
141	0.2983798001
142	0.2977901293
143	0.2972706634
144	0.2968364583
145	0.2951550572
146	0.2945302276
147	0.2939019748
148	0.2933293822
149	0.292775946
150	0.2923512399
151	0.2917434006
152	0.2910995532
153	0.2905573054
154	0.2897953851
155	0.2894399243
156	0.2890790649
157	0.288610147
158	0.2882405651
159	0.2881174962
160	0.2877480821
161	0.2870704872
162	0.2865527503
163	0.2848920365
164	0.2846607728
165	0.2840747823
166	0.2835608437
167	0.2832547094
168	0.2826795765
169	0.2809289796
170	0.2801890411
171	0.2797995983
172	0.2795093969
173	0.2788502295
174	0.2783594734
175	0.2779259388
176	0.2775896463
177	0.2769746327
178	0.2767268458
179	0.2763894221
180	0.2760663606
181	0.2757991017
182	0.2748002781
183	0.2744271232
184	0.2731252086
185	0.2720702461
186	0.2715655041
187	0.2709706399
188	0.2708032926
189	0.2703532053
190	0.2700914416
191	0.2690183356
192	0.2676198322
193	0.2672370105
194	0.2667042931
195	0.266648829
196	0.2653010766
197	0.2650146425
198	0.2645590023
199	0.264207662
